Gene	RoastScore	PooledTopTagScore	ExpressionScore	CNVScore	ImpactScore
BAZ1B	5.879121	6.015152	5.214126	6.666667	23.775066
SMG1	5.824176	6.682166	3.075375	3.333333	18.915050
PKLR	5.769231	5.749011	0.193955	3.333333	15.045530
INSR	5.714286	4.660957	0.279783	3.333333	13.988360
MAST3	5.659341	5.906690	1.555358	3.333333	16.454723
CCND1	5.604396	6.196168	6.072197	3.333333	21.206094
ERBB2	5.549451	5.939046	4.139148	3.333333	18.960979
ULK3	5.494505	5.991739	4.522640	3.333333	19.342218
STK25	5.439560	6.614047	6.806097	3.333333	22.193038
JAK1	5.384615	5.437918	5.529914	6.666667	23.019114
CLP1	5.219780	5.833874	3.555206	3.333333	17.942194
MAP3K10	4.725275	5.831579	2.995984	3.333333	16.886171
AK7	4.615385	5.613027	1.325190	3.333333	14.886935
PPIP5K1	4.560440	5.872514	3.618806	10.000000	24.051760
WNK4	4.505495	5.861066	0.097130	3.333333	13.797024
DSTYK	4.450549	5.547604	2.697567	3.333333	16.029054
ADCK4	4.395604	5.597206	3.891894	3.333333	17.218038
MAPKAPK3	4.285714	6.333536	6.274745	3.333333	20.227328
DDR2	4.230769	5.536921	0.107324	3.333333	13.208348
EPHB3	4.175824	5.912248	2.643265	10.000000	22.731337
ABL2	4.120879	6.023864	2.583768	3.333333	16.061845
NAGK	4.065934	5.747178	4.878743	6.666667	21.358521
IGF1R	4.010989	6.331564	3.382512	3.333333	17.058397
MARK1	3.901099	5.895597	3.175580	3.333333	16.305609
PIP5K1C	3.846154	4.760864	3.070656	3.333333	15.011007
STK10	3.791209	5.557368	5.157942	6.666667	21.173185
PRKCZ	3.736264	5.135333	4.791848	3.333333	16.996778
HIPK2	3.681319	6.038752	2.061237	3.333333	15.114641
OBSCN	3.626374	5.523201	0.443517	3.333333	12.926425
MAPK10	3.571429	5.410901	1.485267	0.000000	10.467596
PDK2	3.516484	6.714714	3.614517	3.333333	17.179047
MAPKAPK2	3.461538	5.626057	5.715607	3.333333	18.136535
TTK	3.406593	6.237876	4.679411	0.000000	14.323880
SNRK	3.351648	5.950724	1.506847	3.333333	14.142553
GRK6	3.241758	6.081011	6.383052	6.666667	22.372488
PTK2B	3.186813	5.281766	4.355888	0.000000	12.824467
JAK2	3.076923	4.818316	1.187354	3.333333	12.415926
SRMS	3.021978	5.242337	0.244105	6.666667	15.175087
NRP2	3.131868	5.963849	3.863990	3.333333	16.293041
MYLK4	2.967033	5.814718	0.086577	6.666667	15.534995
GTF2H1	2.912088	5.281428	4.535000	3.333333	16.061849
JAK3	2.857143	6.319539	0.039116	3.333333	12.549131
CHEK2	2.802198	5.465687	5.567063	3.333333	17.168281
TYRO3	2.747253	5.427977	3.147418	3.333333	14.655981
AKAP9	2.692308	5.203743	2.146038	6.666667	16.708755
ALPK3	2.637363	5.681085	0.024019	3.333333	11.675799
DAPK3	2.582418	5.665506	5.731857	3.333333	17.313114
PLK4	2.472527	5.497621	3.497789	0.000000	11.467938
NMRK1	2.417582	5.322357	3.989227	3.333333	15.062500
MAP3K6	2.362637	5.936083	3.261215	3.333333	14.893268
PRKD3	2.307692	5.825106	3.875525	3.333333	15.341656
MAPK1	2.197802	5.698224	5.437187	3.333333	16.666546
PRKD2	2.142857	5.303713	4.665279	3.333333	15.445182
MAP3K1	2.087912	5.894762	1.500387	0.000000	9.483062
ACVR1C	1.978022	5.399605	0.844022	3.333333	11.554983
EFNA3	1.868132	5.578966	3.216533	3.333333	13.996964
RPS6KA4	1.813187	4.876285	5.271042	3.333333	15.293848
DDR1	1.758242	5.983395	8.125418	6.666667	22.533721
IKBKB	1.703297	5.773813	3.941976	3.333333	14.752419
MAK	1.648352	5.814174	0.307045	6.666667	14.436238
RPS6KB1	1.538462	5.342968	3.711843	3.333333	13.926606
PRKCD	1.483516	5.486680	4.740291	3.333333	15.043821
PTK2	1.428571	5.282593	5.803860	3.333333	15.848358
YWHAZ	1.373626	5.360388	9.563796	3.333333	19.631144
MAP2K7	1.318681	5.373698	3.922126	3.333333	13.947839
MAP2K3	1.263736	5.287740	6.507305	3.333333	16.392115
CAMKK2	1.153846	5.422943	4.590597	3.333333	14.500720
BRD2	1.098901	5.179319	6.757957	6.666667	19.702843
RPS6KA1	1.043956	5.555195	6.301884	3.333333	16.234368
MAPK12	0.989011	4.721673	6.386118	6.666667	18.763468
EPHA4	0.934066	5.417418	0.224297	3.333333	9.909114
CHEK1	0.879121	5.474730	4.977054	6.666667	17.997571
PFKFB3	0.824176	5.044644	5.050925	0.000000	10.919745
TEC	0.769231	5.203788	0.971283	3.333333	10.277634
FER	0.714286	5.248187	1.924331	6.666667	14.553471
SHC1	0.659341	5.302582	7.462089	3.333333	16.757345
CSF1R	0.604396	5.145148	0.569391	6.666667	12.985601
PFKL	0.549451	5.741187	6.744230	3.333333	16.368201
PHKG1	0.494505	5.391256	3.891741	6.666667	16.444170
ADK	0.384615	5.133358	7.001000	3.333333	15.852307
CDK7	0.329670	5.215966	6.816921	6.666667	19.029224
BMPR1A	0.164835	4.512795	3.686233	3.333333	11.697196
ROCK2	0.109890	5.164715	3.446634	3.333333	12.054573
CDK9	0.054945	5.524100	4.824864	3.333333	13.737242
NEK11	0.000000	5.286882	0.717139	6.666667	12.670688
