Gene	RoastScore	PooledTopTagScore	ExpressionScore	CNVScore	ImpactScore
GUK1	5.067568	1.572620	9.921492	3.333333	19.895013
GAK	5.000000	1.209447	4.742229	3.333333	14.285010
NLK	4.932432	1.059195	2.327501	3.333333	11.652462
LCK	4.864865	1.299184	2.102234	3.333333	11.599617
MAPK9	4.797297	1.176672	4.844028	6.666667	17.484664
SRPK1	4.729730	1.328279	6.006878	6.666667	18.731554
CRIM1	4.662162	1.856807	6.072158	3.333333	15.924460
CCL5	4.594595	1.183303	6.183681	3.333333	15.294912
EPHA2	4.459459	1.227337	8.097488	3.333333	17.117618
PRKD3	4.391892	1.116547	3.870999	3.333333	12.712772
ATM	4.256757	1.387959	1.971138	6.666667	14.282521
WNK1	4.189189	1.023809	3.482549	0.000000	8.695547
CSNK1A1	4.121622	0.995062	7.747073	6.666667	19.530424
WNK4	3.986486	1.042166	0.089812	3.333333	8.451798
CSNK1G2	3.851351	1.078632	5.814356	3.333333	14.077672
JAK3	3.648649	1.163986	0.031755	3.333333	8.177723
SQSTM1	3.581081	1.327847	8.010880	6.666667	19.586476
CDK2	3.513514	1.262656	5.763022	3.333333	13.872525
MAP3K9	3.445946	1.157548	2.871693	3.333333	10.808520
PFKFB2	3.378378	1.226208	2.282137	3.333333	10.220057
MTOR	3.310811	1.154143	3.701021	3.333333	11.499308
HIPK3	3.243243	1.080548	3.109340	3.333333	10.766464
CKMT1A	3.175676	1.084743	4.410856	10.000000	18.671275
MAP2K4	3.108108	1.062567	4.759607	10.000000	18.930282
NRP1	3.040541	1.149690	2.869195	0.000000	7.059425
IPPK	2.972973	1.153123	3.263967	3.333333	10.723396
PRKCE	2.837838	1.107533	1.541884	3.333333	8.820588
AKAP9	2.770270	1.149982	2.140234	6.666667	12.727153
YES1	2.702703	1.089102	4.824552	3.333333	11.949690
SRC	2.635135	1.130519	4.446324	3.333333	11.545312
NEK11	2.567568	1.036309	0.710280	6.666667	10.980823
PRKAB1	2.500000	1.191240	2.974799	3.333333	9.999372
EIF2AK2	2.432432	1.084503	4.818517	3.333333	11.668786
ULK4	2.364865	1.079758	0.811432	3.333333	7.589388
MARK4	2.297297	1.072019	3.322907	3.333333	10.025556
MAST3	2.229730	0.898277	1.549118	3.333333	8.010458
MET	2.162162	1.055866	6.362410	3.333333	12.913771
CDK14	2.094595	1.133384	2.563975	6.666667	12.458620
SRMS	1.891892	1.084243	0.236896	6.666667	9.879698
FRK	1.824324	1.014840	1.255483	0.000000	4.094647
MAPK6	1.756757	0.967227	6.080082	10.000000	18.804066
CKB	1.689189	1.049698	7.620590	3.333333	13.692810
FER	1.621622	0.959994	1.918364	6.666667	11.166646
FLT4	1.554054	1.097765	0.597251	6.666667	9.915736
PRKACB	1.486486	0.946926	3.660981	6.666667	12.761060
CAD	1.418919	1.144644	4.411106	3.333333	10.308002
PKN3	1.351351	0.947304	0.961117	3.333333	6.593105
PIK3CB	1.283784	0.893847	4.010495	10.000000	16.188126
FGFR4	1.148649	0.994140	2.618565	6.666667	11.428020
CDK6	1.081081	1.069323	5.038007	6.666667	13.855078
DYRK3	1.013514	0.991437	2.931920	3.333333	8.270203
CAMK4	0.878378	0.953328	2.054089	6.666667	10.552462
NUAK1	0.810811	0.867006	1.772613	3.333333	6.783763
EPHA3	0.743243	0.967737	0.115333	3.333333	5.159646
AK5	0.608108	0.953221	0.054846	6.666667	8.282842
ADK	0.540541	0.998759	6.998783	3.333333	11.871416
JAK1	0.472973	0.968245	5.526611	6.666667	13.634495
EFNA3	0.405405	0.991084	3.211520	3.333333	7.941343
CERK	0.337838	0.972268	4.903813	6.666667	12.880585
STK38	0.270270	0.963855	4.100707	6.666667	12.001499
MERTK	0.202703	0.996606	0.080260	3.333333	4.612903
BRSK1	0.135135	0.923531	0.247121	3.333333	4.639121
STK39	0.000000	0.950605	4.525929	3.333333	8.809868
