genes	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
PRKCE	4	0.25	0	Down	0.4627	0.647198138	0.0989	0.405520833
AKAP9	6	0.5	0.166666667	Down	0.4645	0.647198138	0.1558	0.405520833
ROS1	4	0.25	0.25	Up	0.4658	0.647198138	0.022	0.399803571
ULK1	5	0	0.4	Up	0.4687	0.647198138	0.3538	0.435778986
KSR2	8	0.125	0.375	Up	0.4731	0.647198138	0.076	0.405520833
TRIM28	7	0	0.285714286	Up	0.4732	0.647198138	0.4695	0.503625
DMPK	5	0	0.2	Up	0.4742	0.647198138	0.4701	0.503625
YES1	4	0.5	0	Down	0.4762	0.647198138	0.1896	0.405520833
SRC	6	0.166666667	0	Down	0.4772	0.647198138	0.5227	0.548459877
NEK11	8	0.375	0.125	Down	0.4888	0.654434615	0.0864	0.405520833
BLK	5	0	0.6	Up	0.4932	0.654434615	0.2685	0.405520833
PRKAB1	6	0.166666667	0.166666667	Down	0.4955	0.654434615	0.403	0.462847973
EIF2AK2	5	0.4	0.2	Down	0.4973	0.654434615	0.0088	0.276675
ULK4	5	0.2	0	Down	0.4974	0.654434615	0.5705	0.588710685
MARK4	6	0.166666667	0.166666667	Down	0.4981	0.654434615	0.232	0.405520833
MAP3K13	5	0.2	0.4	Up	0.5005	0.654434615	0.3662	0.438827465
MAST3	5	0.2	0.2	Down	0.5075	0.65905203	0.3355	0.42984799
MET	4	0.25	0	Down	0.5092	0.65905203	0.2932	0.410732143
CDK14	4	0.5	0	Down	0.5154	0.663708333	0.4533	0.498184267
MOS	4	0.5	0	Down	0.5212	0.667805276	0.1603	0.405520833
TAF1L	4	0.25	0	Down	0.5301	0.67581375	0.3459	0.430203659
INSR	4	0.25	0.5	Up	0.5334	0.67663806	0.1823	0.405520833
LMTK3	4	0.25	0.5	Up	0.5451	0.687055419	0.2204	0.405520833
BRAF	4	0.25	0.25	Up	0.547	0.687055419	0.2257	0.405520833
GTF2H2	5	0	0.2	Up	0.5516	0.6894375	0.0098	0.276675
SRMS	6	0	0	Down	0.5575	0.69178034	0.3881	0.456003456
KDR	4	0	0.25	Up	0.5589	0.69178034	0.1978	0.405520833
FRK	4	0	0	Down	0.5675	0.699032609	0.3776	0.44571875
ACVR1	7	0	0.285714286	Up	0.586	0.718352163	0.5535	0.578400615
MAPK6	5	0.4	0.2	Down	0.5968	0.728092105	0.2404	0.405520833
TAF1	5	0.4	0.4	Up	0.6117	0.742717857	0.1393	0.405520833
CKB	7	0.285714286	0.285714286	Down	0.6308	0.757517606	0.149	0.405520833
FER	6	0.166666667	0.333333333	Down	0.6308	0.757517606	0.167	0.405520833
DYRK1B	7	0.142857143	0.428571429	Up	0.6328	0.757517606	0.0522	0.405520833
PRKAA2	4	0.25	0.5	Up	0.6551	0.777394186	0.0392	0.405520833
FLT4	4	0.25	0	Down	0.6555	0.777394186	0.5627	0.585615306
PASK	4	0	0	Up	0.6797	0.802364583	0.0452	0.405520833
PRKACB	6	0.166666667	0.166666667	Down	0.6912	0.811096154	0.2761	0.405520833
CAD	4	0.25	0.25	Down	0.6957	0.811096154	0.0828	0.405520833
GALK1	5	0	0.2	Up	0.7014	0.811096154	0.9421	0.94205
PKN3	4	0	0	Down	0.7027	0.811096154	0.108	0.405520833
PIK3CB	4	0.25	0.25	Down	0.703	0.811096154	0.3285	0.42984799
FGR	6	0.5	0.5	Down	0.7083	0.813530405	0.2911	0.410042818
FGFR4	4	0.25	0.25	Down	0.7157	0.81605692	0.5708	0.588710685
CDK6	8	0.375	0.25	Down	0.7169	0.81605692	0.248	0.405520833
MAP2K3	4	0.25	0.25	Up	0.7381	0.833094027	0.2833	0.405520833
DYRK3	4	0.25	0	Down	0.7384	0.833094027	0.1165	0.405520833
PKN2	5	0.2	0.2	Up	0.7497	0.840664847	0.2788	0.405520833
PRKG2	5	0.2	0.2	Up	0.7528	0.840664847	0.0531	0.405520833
EPHA8	4	0.25	0.25	Down	0.755	0.840664847	0.3666	0.438827465
CAMK4	5	0.2	0.2	Down	0.7754	0.856126623	0.3938	0.4570875
AXL	4	0.25	0.25	Up	0.7756	0.856126623	0.071	0.405520833
NUAK1	5	0.4	0.4	Down	0.7947	0.873429957	0.0978	0.405520833
EPHA10	4	0	0	Up	0.8105	0.882077801	0.2357	0.405520833
TEC	6	0	0.166666667	Up	0.8112	0.882077801	0.1896	0.405520833
EPHA3	4	0.25	0	Down	0.819	0.882077801	0.456	0.499001073
KIT	4	0	0	Down	0.8258	0.882077801	0.8474	0.854048419
AK5	4	0.25	0.25	Down	0.8297	0.882077801	0.1458	0.405520833
ADK	4	0.25	0	Down	0.8303	0.882077801	0.9233	0.926884843
CSF1R	4	0	0	Up	0.832	0.882077801	0.4671	0.503625
PTK2B	6	0.166666667	0.333333333	Up	0.8336	0.882077801	5.00E-04	0.070125
JAK1	4	0.25	0.25	Down	0.8337	0.882077801	0.3384	0.430203659
EFNA3	4	0.25	0.25	Down	0.8393	0.884333678	0.0361	0.405520833
CERK	4	0	0	Down	0.8483	0.889730533	0.5726	0.588710685
STK38	6	0	0.166666667	Down	0.8514	0.889730533	0.2788	0.405520833
MERTK	4	0.25	0.25	Down	0.8774	0.913160204	0.2451	0.405520833
BRSK1	6	0.333333333	0.166666667	Down	0.8985	0.931057229	0.2011	0.405520833
PIK3CG	7	0.142857143	0.142857143	Up	0.9065	0.931057229	0.2461	0.405520833
AK1	5	0.4	0.4	Up	0.9076	0.931057229	0.1072	0.405520833
OXSR1	4	0.25	0.25	Up	0.9092	0.931057229	0.0107	0.276675
BRDT	4	0.25	0	Up	0.9213	0.934747024	0.0411	0.405520833
MAPK8	5	0.2	0.2	Up	0.9237	0.934747024	0.0501	0.405520833
KNDC1	4	0.25	0.25	Down	0.9238	0.934747024	0.2237	0.405520833
EPHA7	7	0.142857143	0.285714286	Up	0.9472	0.954637352	0.1448	0.405520833
STK39	5	0	0	Down	0.9526	0.956300197	0.2814	0.405520833
JAK2	7	0.142857143	0.142857143	Up	0.9736	0.97355	0.1954	0.405520833
